name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Margaux,1994,Bordeaux Red Blends,Margaux, Bordeaux, France,419.00,91,95.25099,-4.25099,1,0,0,0,1,0
Chateau Sociando-Mallet,1995,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,69.99,90,92.26813,-2.26813,1,0,0,0,1,0
Kilikanoon Oracle Shiraz,1998,Syrah/Shiraz,Clare Valley, Australia,89.97,92,92.98925,-0.98925,0,1,0,0,0,1
Chateau Clerc Milon,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,124.97,90,92.73802,-2.73802,1,0,0,0,1,0
Chateau Mouton Rothschild,1995,Bordeaux Red Blends,Pauillac, Bordeaux, France,349.00,95,94.65273,0.34727,1,0,0,0,1,0
Chateau Duhart-Milon,1996,Bordeaux Red Blends,Pauillac, Bordeaux, France,104.99,90,92.56726,-2.56726,1,0,0,0,1,0
Domaine Robert Groffier Pere & Fils Chambolle Musigny Les Amoureuses Premier Cru,1998,Pinot Noir,Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France,439.00,93,94.44981,-1.44981,0,0,1,0,1,0
Tenuta Guado al Tasso,1997,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,129.00,94,92.40295,1.59705,1,0,0,1,0,0
Peter Lehmann Eight Songs Shiraz,1996,Syrah/Shiraz,Barossa Valley, Barossa, Australia,53.99,93,92.68175,0.31825,0,1,0,0,0,1
Peter Lehmann Shiraz,1998,Syrah/Shiraz,Barossa Valley, Barossa, Australia,17.49,90,92.36979,-2.36979,0,1,0,0,0,1
Chateau Leoville Barton,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,129.00,95,92.77246,2.22754,1,0,0,0,1,0
Chateau Margaux,1996,Bordeaux Red Blends,Margaux, Bordeaux, France,799.00,100,98.49872,1.50128,1,0,0,0,1,0
Chateau Margaux,1995,Bordeaux Red Blends,Margaux, Bordeaux, France,599.97,95,96.79768,-1.79768,1,0,0,0,1,0
Chateau Montrose,1995,Bordeaux Red Blends,St. Estephe, Bordeaux, France,83.99,92,92.38778,-0.38778,1,0,0,0,1,0
Chateau Sociando-Mallet (scuffed label),1996,Bordeaux Red Blends,Haut Medoc, Bordeaux, France,85.97,90,92.40471,-2.40471,1,0,0,0,1,0
Antinori Tignanello,1997,Tuscan Blends,Tuscany, Italy,259.97,93,93.52231,-0.52231,1,0,0,1,0,0
