name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau Rauzan-Segla,1995,Bordeaux Red Blends,Margaux, Bordeaux, France,129.00,90,92.86517,-2.86517,1,0,0,0,1,0
Chateau Haut-Brion,1985,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,499.00,95,94.98114,0.01886,1,0,0,0,1,0
Chateau Haut-Brion,1986,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,639.97,94,95.86867,-1.86867,1,0,0,0,1,0
Chateau Haut-Brion,1998,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,759.97,96,96.81273,-0.81273,1,0,0,0,1,0
Chateau L'Evangile,1995,Bordeaux Red Blends,Pomerol, Bordeaux, France,199.00,92,93.29749,-1.29749,1,0,0,0,1,0
Chateau La Conseillante Pomerol,1996,Bordeaux Red Blends,Pomerol, Bordeaux, France,82.99,88,92.59793,-4.59793,1,0,0,0,1,0
Chateau Petrus,1997,Bordeaux Red Blends,Pomerol, Bordeaux, France,785.99,91,96.95651,-5.95651,1,0,0,0,1,0
Chateau Figeac,1995,Bordeaux Red Blends,St. Emilion, Bordeaux, France,159.97,90,93.05643,-3.05643,1,0,0,0,1,0
Les Forts de Latour,1999,Bordeaux Red Blends,Pauillac, Bordeaux, France,56.99,90,92.48808,-2.48808,1,0,0,0,1,0
Chateau Angelus,1994,Bordeaux Red Blends,St. Emilion, Bordeaux, France,184.99,93,93.19405,-0.19405,1,0,0,0,1,0
Chateau Leoville Las Cases,1982,Bordeaux Red Blends,St. Julien, Bordeaux, France,529.00,95,95.11568,-0.11568,1,0,0,0,1,0
Chateau Leoville Poyferre,1995,Bordeaux Red Blends,St. Julien, Bordeaux, France,135.00,90,92.90222,-2.90222,1,0,0,0,1,0
Chateau Lafon-Rochet,1996,Bordeaux Red Blends,St. Estephe, Bordeaux, France,82.97,90,92.59781,-2.59781,1,0,0,0,1,0
Chateau Clerc Milon,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,109.97,91,92.79838,-1.79838,1,0,0,0,1,0
Chateau d'Armailhac,1998,Bordeaux Red Blends,Pauillac, Bordeaux, France,35.99,89,92.34148,-3.34148,1,0,0,0,1,0
