name,vintage,varietal,location,price,score,prediction,difference,bordeauxBlends,syrah,pinot,italy,france,australia
Chateau La Mission Haut-Brion,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,819.99,99,98.87766,0.12234,1,0,0,0,1,0
Chateau Montrose,2003,Bordeaux Red Blends,St. Estephe, Bordeaux, France,259.97,97,94.77832,2.22168,1,0,0,0,1,0
Chateau Montrose,2005,Bordeaux Red Blends,St. Estephe, Bordeaux, France,199.99,96,94.33926,1.66074,1,0,0,0,1,0
Chateau Smith Haut Lafitte,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,159.99,95,94.04646,0.95354,1,0,0,0,1,0
Chateau Smith Haut Lafitte,2000,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,229.97,90,94.55872,-4.55872,1,0,0,0,1,0
Tenuta Guado al Tasso,2006,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,99.97,95,93.39620,1.60380,1,0,0,1,0,0
Chateau Ducru-Beaucaillou,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,279.99,95,94.92487,0.07513,1,0,0,0,1,0
Tenuta Guado al Tasso,2005,Bordeaux Red Blends,Bolgheri, Tuscany, Italy,95.00,92,93.35982,-1.35982,1,0,0,1,0,0
Chateau Rauzan-Segla,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,159.00,98,94.03922,3.96078,1,0,0,0,1,0
Chateau Mouton Rothschild,2006,Bordeaux Red Blends,Pauillac, Bordeaux, France,599.97,95,97.26711,-2.26711,1,0,0,0,1,0
Penfolds Grange,2004,Syrah/Shiraz,Australia,499.00,97,96.71963,0.28037,0,1,0,0,0,1
Chateau Pontet-Canet,2006,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.97,93,93.89992,-0.89992,1,0,0,0,1,0
Chateau Rauzan-Segla,2005,Bordeaux Red Blends,Margaux, Bordeaux, France,135.00,98,93.86354,4.13646,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,159.99,97,94.04646,2.95354,1,0,0,0,1,0
Domaine de Chevalier,2005,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,139.99,94,93.90006,0.09994,1,0,0,0,1,0
Chateau Fombrauge,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,54.99,94,93.27786,0.72214,1,0,0,0,1,0
Chateau La Gaffeliere,2004,Bordeaux Red Blends,St. Emilion, Bordeaux, France,42.98,92,93.18996,-1.18996,1,0,0,0,1,0
Chateau La Gaffeliere,2005,Bordeaux Red Blends,St. Emilion, Bordeaux, France,144.97,95,93.93652,1.06348,1,0,0,0,1,0
Clos du Marquis,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,89.99,92,93.53407,-1.53407,1,0,0,0,1,0
Chateau Cos d'Estournel,2006,Bordeaux Red Blends,St. Estephe, Bordeaux, France,159.99,92,94.04646,-2.04646,1,0,0,0,1,0
Domaine de Chevalier (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,89.99,97,93.53407,3.46593,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,139.97,93,93.89992,-0.89992,1,0,0,0,1,0
Chateau Pichon Longueville Comtesse de Lalande (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.99,96,94.26607,1.73393,1,0,0,0,1,0
Chateau Pavie,2008,Bordeaux Red Blends,St. Emilion, Bordeaux, France,299.97,95,95.07111,-0.07111,1,0,0,0,1,0
Chateau Pavie (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,289.00,97,94.99081,2.00919,1,0,0,0,1,0
Chateau Pape Clement,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,139.97,91,93.89992,-2.89992,1,0,0,0,1,0
Chateau Pape Clement (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,149.99,94,93.97327,0.02673,1,0,0,0,1,0
Chateau Palmer,2008,Bordeaux Red Blends,Margaux, Bordeaux, France,219.00,93,94.47842,-1.47842,1,0,0,0,1,0
Chateau Montrose,2008,Bordeaux Red Blends,St. Estephe, Bordeaux, France,129.97,94,93.82672,0.17328,1,0,0,0,1,0
Chateau La Mission Haut-Brion,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,279.99,93,94.92487,-1.92487,1,0,0,0,1,0
Chateau Haut-Brion,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,519.97,94,96.68151,-2.68151,1,0,0,0,1,0
Chateau Grand-Puy-Lacoste (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,79.99,95,93.46086,1.53914,1,0,0,0,1,0
Chateau de Fieuzal,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,49.99,90,93.24126,-3.24126,1,0,0,0,1,0
Chateau de Fieuzal (Futures Pre-sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,44.99,94,93.20467,0.79533,1,0,0,0,1,0
Chateau Cheval Blanc Le Petit Cheval (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,159.00,94,94.03922,-0.03922,1,0,0,0,1,0
Chateau Canon La Gaffeliere,2008,Bordeaux Red Blends,St. Emilion, Bordeaux, France,99.99,91,93.60727,-2.60727,1,0,0,0,1,0
Chateau Canon La Gaffeliere (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,94.99,97,93.57066,3.42934,1,0,0,0,1,0
Chateau Angelus (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Emilion, Bordeaux, France,329.00,97,95.28362,1.71638,1,0,0,0,1,0
Chateau Lynch-Bages,2006,Bordeaux Red Blends,Pauillac, Bordeaux, France,179.97,92,94.19272,-2.19272,1,0,0,0,1,0
Chateau Lynch-Bages (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,134.99,97,93.86346,3.13654,1,0,0,0,1,0
Chateau Leoville Poyferre,2008,Bordeaux Red Blends,St. Julien, Bordeaux, France,99.00,93,93.60002,-0.60002,1,0,0,0,1,0
Chateau Leoville Poyferre (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,149.99,96,93.97327,2.02673,1,0,0,0,1,0
Chateau Leoville Las Cases,2008,Bordeaux Red Blends,St. Julien, Bordeaux, France,219.99,95,94.48566,0.51434,1,0,0,0,1,0
Chateau Leoville Las Cases (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,379.00,99,95.64961,3.35039,1,0,0,0,1,0
Chateau Leoville Barton,2005,Bordeaux Red Blends,St. Julien, Bordeaux, France,176.99,96,94.17090,1.82910,1,0,0,0,1,0
Chateau Leoville Barton,2008,Bordeaux Red Blends,St. Julien, Bordeaux, France,104.97,93,93.64372,-0.64372,1,0,0,0,1,0
Chateau Leoville Barton (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Julien, Bordeaux, France,99.99,96,93.60727,2.39273,1,0,0,0,1,0
Les Forts de Latour,2005,Bordeaux Red Blends,Pauillac, Bordeaux, France,239.99,94,94.63206,-0.63206,1,0,0,0,1,0
Les Forts de Latour,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,189.99,92,94.26607,-2.26607,1,0,0,0,1,0
Chateau Latour,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,629.99,95,97.48685,-2.48685,1,0,0,0,1,0
Carruades de Lafite,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,155.00,91,94.00993,-3.00993,1,0,0,0,1,0
Carruades de Lafite (Futures Pre-Sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,259.00,95,94.77121,0.22879,1,0,0,0,1,0
Chateau Lafite Rothschild,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,989.97,95,100.12190,-5.12190,1,0,0,0,1,0
Chateau Hosanna (Futures Pre-sale),2009,Bordeaux Red Blends,Pomerol, Bordeaux, France,229.00,98,94.55162,3.44838,1,0,0,0,1,0
Chateau Haut-Bailly,2008,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,159.97,92,94.04632,-2.04632,1,0,0,0,1,0
Chateau Haut-Bailly (Futures Pre-Sale),2009,Bordeaux Red Blends,Pessac-Leognan, Bordeaux, France,129.99,97,93.82686,3.17314,1,0,0,0,1,0
Chateau Duhart-Milon,2008,Bordeaux Red Blends,Pauillac, Bordeaux, France,89.97,92,93.53392,-1.53392,1,0,0,0,1,0
Chateau Duhart-Milon (Futures Pre-sale),2009,Bordeaux Red Blends,Pauillac, Bordeaux, France,79.99,95,93.46086,1.53914,1,0,0,0,1,0
Chateau Cos d'Estournel,2008,Bordeaux Red Blends,St. Estephe, Bordeaux, France,167.99,93,94.10503,-1.10503,1,0,0,0,1,0
Chateau Cos d'Estournel (Futures Pre-Sale),2009,Bordeaux Red Blends,St. Estephe, Bordeaux, France,429.00,100,96.01561,3.98439,1,0,0,0,1,0
Chateau Clinet (Futures Pre-Sale),2009,Bordeaux Red Blends,Pomerol, Bordeaux, France,149.99,96,93.97327,2.02673,1,0,0,0,1,0
Chateau Calon-Segur,2008,Bordeaux Red Blends,St. Estephe, Bordeaux, France,129.99,93,93.82686,-0.82686,1,0,0,0,1,0
Chateau Lascombes (Futures Pre-Sale),2009,Bordeaux Red Blends,Margaux, Bordeaux, France,84.99,94,93.49747,0.50253,1,0,0,0,1,0
