varietal,location,count(*)
Syrah/Shiraz,"Colchagua Valley, Rapel Valley, Chile",18
Syrah/Shiraz,"Santa Cruz Mountains, California",18
"Nero d'Avola",Italy,17
"Bordeaux Red Blends","Howell Mountain, Napa Valley, California",17
Grenache,"Paso Robles, Central Coast, California",17
Merlot,"Calistoga, Napa Valley, California",17
"Cabernet Franc","Mendoza, Argentina",17
"Bordeaux Red Blends","Graves, Bordeaux, France",17
"Pinot Noir","Arroyo Grande Valley, Central Coast, California",17
Syrah/Shiraz,"Ballard Canyon, Santa Barbara, Central Coast, California",17
"Rhone Red Blends","Adelaida District, Paso Robles, Central Coast, California",17
"Pinot Noir","Mercurey, Cote Chalonnaise, Burgundy, France",17
"Rhone Red Blends",California,16
"Rhone Red Blends","Priorat, Spain",16
"Other Red Blends","Alexander Valley, Sonoma County, California",16
"Bordeaux Red Blends",Italy,16
"Other Red Wine","Sardinia, Italy",16
"Pinot Noir","Tasmania, Australia",16
"Other Red Blends","Dry Creek Valley, Sonoma County, California",16
Malbec,"Patagonia, Argentina",16
Carignan,"Maule Valley, Chile",16
Zinfandel,"Rockpile, Sonoma County, California",15
"Pinot Noir","Leyda Valley, San Antonio Valley, Chile",15
Bonarda,"Mendoza, Argentina",15
"Pinot Noir","Sonoma Valley, Sonoma County, California",15
Grenache,"Sardinia, Italy",15
Sangiovese,"Walla Walla Valley, Columbia Valley, Washington",15
"Other Red Blends","Uco Valley, Mendoza, Argentina",15
Gamay,"Burgundy, France",15
Syrah/Shiraz,"Sierra Foothills, California",15
Syrah/Shiraz,"Yarra Valley, Australia",15
"Cabernet Sauvignon","Red Hills, Lake County, North Coast, California",15
Tempranillo,"Walla Walla Valley, Columbia Valley, Washington",15
Syrah/Shiraz,"Eden Valley, Barossa, Australia",15
Mourvedre,"Provence, France",15
Grenache,"Rioja, Spain",14
"Other Red Wine",Italy,14
"Other Red Blends","Minervois, Languedoc-Roussillon, France",14
"Petite Sirah","Lodi, California",14
Mourvedre,"Bandol, Provence, France",14
"Bordeaux Red Blends","Margaret River, Australia",14
"Other Red Blends","Campania, Italy",14
Syrah/Shiraz,"Cotes du Rhone, Rhone, France",13
"Pinot Noir","Patagonia, Argentina",13
"Cabernet Sauvignon","Clare Valley, Australia",13
Syrah/Shiraz,Argentina,13
Aglianico,"Basilicata, Italy",13
Merlot,"Howell Mountain, Napa Valley, California",13
Grenache,"Chateauneuf-du-Pape, Rhone, France",13
"Bordeaux Red Blends","Colchagua Valley, Rapel Valley, Chile",13
"Cabernet Franc","Colchagua Valley, Rapel Valley, Chile",13
"Pinot Noir","Marsannay, Cote de Nuits, Cote d'Or, Burgundy, France",13
"Bordeaux Red Blends",Israel,12
"Cabernet Sauvignon","Oak Knoll District, Napa Valley, California",12
"Cabernet Sauvignon","Lodi, California",12
Syrah/Shiraz,"Rias Baixas, Spain",12
"Rhone Red Blends","Cote Rotie, Rhone, France",12
"Petite Sirah","Howell Mountain, Napa Valley, California",12
Syrah/Shiraz,"North Coast, California",12
"Rhone Red Blends","Napa Valley, California",12
"Rhone Red Blends","Costieres de Nimes, Rhone, France",12
"Cabernet Sauvignon","Mendocino, California",12
"Cabernet Sauvignon","Horse Heaven Hills, Columbia Valley, Washington",12
"Petite Sirah","Central Coast, California",12
"Bordeaux Red Blends","Veneto, Italy",12
Merlot,"McLaren Vale, Australia",11
"Bordeaux Red Blends","Cotes de Francs, Bordeaux, France",11
"Pinot Noir","Rogue Valley, Oregon",11
"Rhone Red Blends","Minervois, Languedoc-Roussillon, France",11
"Bordeaux Red Blends","Trentino-Alto Adige, Italy",11
Syrah/Shiraz,"Mendocino, California",11
"Cabernet Franc","Santa Ynez Valley, Santa Barbara, Central Coast, California",11
"Other Red Blends","Bierzo, Spain",11
"Cabernet Sauvignon","Moon Mountain District, Sonoma Valley, Sonoma County, California",11
Malbec,"Napa Valley, California",11
Nebbiolo,"Roero, Piedmont, Italy",11
Malbec,Chile,11
Syrah/Shiraz,"Carneros, California",11
"Pinot Noir",Argentina,11
"Rhone Red Blends","Corbieres, Languedoc-Roussillon, France",11
"Petite Sirah","Mendocino, California",11
Grenache,"Santa Barbara, Central Coast, California",11
"Bordeaux Red Blends","Moulis, Bordeaux, France",11
"Rhone Red Blends","Santa Ynez Valley, Santa Barbara, Central Coast, California",11
"Petite Sirah","Paso Robles, Central Coast, California",11
Merlot,"Spring Mountain District, Napa Valley, California",11
"Cabernet Sauvignon","Aconcagua Valley, Chile",10
Syrah/Shiraz,"Hunter Valley, Australia",10
"Cabernet Sauvignon","Santa Ynez Valley, Santa Barbara, Central Coast, California",10
Malbec,"Colchagua Valley, Rapel Valley, Chile",10
"Pinot Noir","Mendoza, Argentina",10
"Cabernet Franc","Columbia Valley, Washington",10
Malbec,France,10
"Rhone Red Blends","Willow Creek District, Paso Robles, Central Coast, California",10
"Other Red Blends","Alentejo, Portugal",10
Merlot,"New York",10
"Cabernet Sauvignon","Carneros, California",10
"Rhone Red Blends","Walla Walla Valley, Columbia Valley, Washington",10
"Pinot Noir","Mendocino, California",10
Sangiovese,"Sonoma County, California",10
Grenache,"Sta. Rita Hills, Santa Barbara, Central Coast, California",9
"Bordeaux Red Blends","Aconcagua Valley, Chile",9
Syrah/Shiraz,"Sonoma Valley, Sonoma County, California",9
"Petite Sirah","Russian River, Sonoma County, California",9
"Other Red Wine",Greece,9
"Bordeaux Red Blends","Uco Valley, Mendoza, Argentina",9
"Rhone Red Blends","Edna Valley, Central Coast, California",9
"Other Red Blends",Greece,9
Grenache,Australia,9
"Cabernet Franc","Spring Mountain District, Napa Valley, California",9
Syrah/Shiraz,"Calistoga, Napa Valley, California",9
"Cabernet Franc","South Africa",9
"Rhone Red Blends","Russian River, Sonoma County, California",9
Lagrein,"Trentino-Alto Adige, Italy",9
"Cabernet Sauvignon","Barossa, Australia",9
Merlot,"Yountville, Napa Valley, California",9
"Cabernet Franc",Argentina,9
"Other Red Blends","North Coast, California",9
"Other Red Blends","Maipo Valley, Chile",9
"Cabernet Sauvignon","Sonoma Mountain, Sonoma Valley, Sonoma County, California",9
Merlot,Argentina,9
"Other Red Blends","Lodi, California",9
Carmenere,"Maipo Valley, Chile",9
"Bordeaux Red Blends","St. Helena, Napa Valley, California",9
"Cabernet Sauvignon","Priorat, Spain",9
"Other Red Wine","Ribera del Duero, Spain",9
"Pinot Noir","San Benito, Central Coast, California",8
"Rhone Red Blends","La Clape, Languedoc-Roussillon, France",8
Merlot,Israel,8
"Pinot Noir","McMinnville, Willamette Valley, Oregon",8
"Cabernet Sauvignon","Russian River, Sonoma County, California",8
Merlot,"Pomerol, Bordeaux, France",8
"Other Red Blends","Chalk Hill, Sonoma County, California",8
Grenache,"Navarra, Spain",8
Dolcetto,"Dogliani, Piedmont, Italy",8
"Other Red Blends","Santa Ynez Valley, Santa Barbara, Central Coast, California",8
"Pinot Noir","Fixin, Cote de Nuits, Cote d'Or, Burgundy, France",8
"Other Red Blends","Sonoma Valley, Sonoma County, California",8
Carignan,"Sardinia, Italy",8
"Pinot Noir","Friuli-Venezia Giulia, Italy",8
Merlot,"Sonoma Valley, Sonoma County, California",8
Aglianico,"Puglia, Italy",8
"Pinot Noir","Chorey-les-Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",8
"Other Red Wine","Naoussa, Greece",8
"Cabernet Franc","New York",8
Syrah/Shiraz,"Petaluma Gap, Sonoma Coast, Sonoma County, California",8
"Pinot Noir","Yorkville Highlands, Mendocino, California",8
"Other Red Wine",Portugal,8
"Other Red Blends","Southwest, France",8
"Petite Sirah","Sonoma County, California",8
"Other Red Blends","Stellenbosch, South Africa",8
Syrah/Shiraz,"Monterey, Central Coast, California",8
Sangiovese,California,7
"Rhone Red Blends",France,7
Merlot,"New Zealand",7
Zinfandel,"Moon Mountain District, Sonoma Valley, Sonoma County, California",7
"Other Red Wine","Piedmont, Italy",7
Zinfandel,"St. Helena, Napa Valley, California",7
Merlot,"Yakima Valley, Columbia Valley, Washington",7
Carignan,"Languedoc-Roussillon, France",7
"Other Red Blends","Navarra, Spain",7
"Pinot Noir","Trentino-Alto Adige, Italy",7
Syrah/Shiraz,Italy,7
Zinfandel,"Atlas Peak, Napa Valley, California",7
"Cabernet Sauvignon","Happy Canyon, Santa Barbara, Central Coast, California",7
Syrah/Shiraz,"Red Mountain, Yakima Valley, Columbia Valley, Washington",7
"Tuscan Blends","Carmignano, Tuscany, Italy",7
Merlot,"St. Emilion, Bordeaux, France",7
Zinfandel,"San Francisco Bay, Central Coast, California",7
"Pinot Noir","Aconcagua Valley, Chile",7
"Other Red Blends","Mendocino, California",7
Merlot,"Rutherford, Napa Valley, California",7
Barbera,"Sierra Foothills, California",7
"Cabernet Sauvignon","Yarra Valley, Australia",7
"Cabernet Sauvignon",Washington,7
Grenache,"Santa Ynez Valley, Santa Barbara, Central Coast, California",7
"Other Red Wine","Bierzo, Spain",7
Mourvedre,California,7
Syrah/Shiraz,"Minervois La Liviniere, Languedoc-Roussillon, France",7
"Pinot Noir","Sancerre, Loire, France",7
"Other Red Blends","Provence, France",6
"Rhone Red Blends","Sonoma County, California",6
"Pinot Noir","Limari Valley, Chile",6
Mencia,"Valdeorras, Spain",6
Sangiovese,"Scansano, Tuscany, Italy",6
"Cabernet Sauvignon","Lake County, North Coast, California",6
"Other Red Wine","Calabria, Italy",6
Merlot,"Russian River, Sonoma County, California",6
Syrah/Shiraz,"Knights Valley, Sonoma County, California",6
"Pinot Noir","Mendocino Ridge, Mendocino, California",6
"Bordeaux Red Blends","Lalande de Pomerol, Bordeaux, France",6
Tempranillo,"La Mancha, Spain",6
"Petit Verdot",Spain,6
Negroamaro,"Puglia, Italy",6
Carmenere,"Aconcagua Valley, Chile",6
Syrah/Shiraz,"Bennett Valley, Sonoma Valley, Sonoma County, California",6
Merlot,"Bordeaux, France",6
"Other Red Blends","Barossa, Australia",6
Merlot,"Rogue Valley, Oregon",6
"Pinot Noir","San Antonio Valley, Chile",6
Cinsault,Chile,6
Tempranillo,Argentina,6
"Bordeaux Red Blends","Mt. Veeder, Napa Valley, California",6
"Other Red Blends","Patagonia, Argentina",6
Syrah/Shiraz,"Maipo Valley, Chile",6
Syrah/Shiraz,"Lodi, California",6
Merlot,"Friuli-Venezia Giulia, Italy",5
Merlot,Washington,5
"Pinot Noir","Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",5
"Bordeaux Red Blends","Stags Leap District, Napa Valley, California",5
Merlot,"Fronsac, Bordeaux, France",5
Nebbiolo,Italy,5
"Other Red Blends","Friuli-Venezia Giulia, Italy",5
Syrah/Shiraz,"Uco Valley, Mendoza, Argentina",5
"Other Red Wine","Napa Valley, California",5
Primitivo,"Puglia, Italy",5
"Rhone Red Blends","Montsant, Spain",5
"Bordeaux Red Blends",Washington,5
"Pinot Noir","Canterbury, New Zealand",5
"Other Red Wine","Nemea, Greece",5
"Other Red Blends","Amador, Sierra Foothills, California",5
"Pinot Noir","Santenay, Cote de Beaune, Cote d'Or, Burgundy, France",5
Tempranillo,"Umpqua Valley, Oregon",5
