id,name,vintage,price,JS,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
157106,"Arcanum Il Fauno di Arcanum",2012,38.99,92,https://www.wine.com/product/arcanum-il-fauno-di-arcanum-2012/157106,"Bordeaux Red Blends","Tuscany, Italy",1,0,0,1,0,0
157524,"Chateau D'Arsac",2015,32.99,92,https://www.wine.com/product/chateau-darsac-2015/157524,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157525,"Chateau Bolaire Bordeaux Superieur",2015,13.99,91,https://www.wine.com/product/chateau-bolaire-bordeaux-superieur-2015/157525,"Bordeaux Red Blends","Medoc, Bordeaux, France",1,0,0,0,1,0
157526,"Chateau Ferran",2015,24.99,94,https://www.wine.com/product/chateau-ferran-2015/157526,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157528,"Chateau Malescasse",2015,25.99,92,https://www.wine.com/product/chateau-malescasse-2015/157528,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
157529,"Chateau Lanessan",2015,21.99,93,https://www.wine.com/product/chateau-lanessan-2015/157529,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
157539,"Chateau de La Cour d'Argent",2015,12.99,91,https://www.wine.com/product/chateau-de-la-cour-dargent-2015/157539,"Bordeaux Red Blends","Bordeaux, France",1,0,0,0,1,0
157543,"Chateau Mont-Perat Premiers Cotes de Bordeaux",2015,19.99,91,https://www.wine.com/product/chateau-mont-perat-premiers-cotes-de-bordeaux-2015/157543,"Bordeaux Red Blends","Bordeaux, France",1,0,0,0,1,0
157589,"Chateau Langoa Barton",2015,63.99,94,https://www.wine.com/product/chateau-langoa-barton-2015/157589,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157597,"Chateau Cap de Faugeres",2015,15.99,92,https://www.wine.com/product/chateau-cap-de-faugeres-2015/157597,"Bordeaux Red Blends","Cotes de Castillon, Bordeaux, France",1,0,0,0,1,0
157601,"Chateau Branaire-Ducru",2015,69.99,93,https://www.wine.com/product/chateau-branaire-ducru-2015/157601,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157611,"Clos du Marquis",2015,64.99,95,https://www.wine.com/product/clos-du-marquis-2015/157611,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
157623,"Chateau Brane-Cantenac",2015,89.99,94,https://www.wine.com/product/chateau-brane-cantenac-2015/157623,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
157625,"Chateau Clerc Milon",2015,72.99,95,https://www.wine.com/product/chateau-clerc-milon-2015/157625,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
157628,"Domaine de Chevalier",2015,89.99,97,https://www.wine.com/product/domaine-de-chevalier-2015/157628,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
157629,"Chateau Beau-Sejour Becot",2015,109.99,95,https://www.wine.com/product/chateau-beau-sejour-becot-2015/157629,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157633,"Chateau Larcis-Ducasse",2015,84.99,99,https://www.wine.com/product/chateau-larcis-ducasse-2015/157633,"Bordeaux Red Blends","St. Emilion, Bordeaux, France",1,0,0,0,1,0
157635,"Delas Cote Rotie la Landonne",2013,259.99,94,https://www.wine.com/product/delas-cote-rotie-la-landonne-2013/157635,Syrah/Shiraz,"Cote Rotie, Rhone, France",0,1,0,0,1,0
157636,"Delas Saint-Joseph Francois de Tournon",2013,41.99,92,https://www.wine.com/product/delas-saint-joseph-francois-de-tournon-2013/157636,Syrah/Shiraz,"Saint-Joseph, Rhone, France",0,1,0,0,1,0
