id,name,vintage,price,RP,url,varietal,location,bordeauxBlends,syrah,pinot,italy,france,australia
6395,"Chateau Haut-Brion",1990,989.97,98,https://www.wine.com/product/chateau-haut-brion-1990/6395,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6397,"Chateau Haut-Brion",1994,429.99,92,https://www.wine.com/product/chateau-haut-brion-1994/6397,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6413,"Chateau Leoville Poyferre",1996,139,93,https://www.wine.com/product/chateau-leoville-poyferre-1996/6413,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6496,"Chateau Leoville Barton",1986,113.99,92,https://www.wine.com/product/chateau-leoville-barton-1986/6496,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6519,"Chateau Pontet-Canet",1995,159.97,92,https://www.wine.com/product/chateau-pontet-canet-1995/6519,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6531,"Chateau Lafite Rothschild",1994,225.99,90,https://www.wine.com/product/chateau-lafite-rothschild-1994/6531,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6533,"Chateau Margaux",1990,989,100,https://www.wine.com/product/chateau-margaux-1990/6533,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
6535,"Chateau La Mission Haut-Brion",1990,699.98,97,https://www.wine.com/product/chateau-la-mission-haut-brion-1990/6535,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
6538,"Chateau Ducru-Beaucaillou",1996,379.97,96,https://www.wine.com/product/chateau-ducru-beaucaillou-1996/6538,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6539,"Chateau Lynch-Bages",1990,349.97,99,https://www.wine.com/product/chateau-lynch-bages-1990/6539,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6540,"Chateau Lynch-Bages",1996,219.97,93,https://www.wine.com/product/chateau-lynch-bages-1996/6540,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6547,"Chateau Pichon-Longueville Baron",1990,250,98,https://www.wine.com/product/chateau-pichon-longueville-baron-1990/6547,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6549,"Chateau Pichon-Longueville Baron",1995,189.97,90,https://www.wine.com/product/chateau-pichon-longueville-baron-1995/6549,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6550,"Chateau Pichon-Longueville Baron",1996,229.97,91,https://www.wine.com/product/chateau-pichon-longueville-baron-1996/6550,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
6554,"Chateau Leoville Las Cases",1990,304.99,96,https://www.wine.com/product/chateau-leoville-las-cases-1990/6554,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6555,"Chateau Leoville Las Cases",1993,79.99,90,https://www.wine.com/product/chateau-leoville-las-cases-1993/6555,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6556,"Chateau Leoville Las Cases",1995,125,95,https://www.wine.com/product/chateau-leoville-las-cases-1995/6556,"Bordeaux Red Blends","St. Julien, Bordeaux, France",1,0,0,0,1,0
6557,"Chateau Grand-Puy-Lacoste",1995,149,95,https://www.wine.com/product/chateau-grand-puy-lacoste-1995/6557,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
7360,"Chateau Mouton Rothschild (Balthus label)",1993,599.97,90,https://www.wine.com/product/chateau-mouton-rothschild-balthus-label-1993/7360,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
7421,"Chateau Haut-Brion",1996,649.97,92,https://www.wine.com/product/chateau-haut-brion-1996/7421,"Bordeaux Red Blends","Pessac-Leognan, Bordeaux, France",1,0,0,0,1,0
8060,"Chateau Pichon Longueville Comtesse de Lalande",2000,339.97,96,https://www.wine.com/product/chateau-pichon-longueville-comtesse-de-lalande-2000/8060,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
8652,"Avignonesi Grifi (stained labels)",1995,29.99,90,https://www.wine.com/product/avignonesi-grifi-stained-labels-1995/8652,"Tuscan Blends","Tuscany, Italy",1,0,0,1,0,0
9215,"Clarendon Hills Liandra Syrah",1998,70.49,91,https://www.wine.com/product/clarendon-hills-liandra-syrah-1998/9215,Syrah/Shiraz,"McLaren Vale, Australia",0,1,0,0,0,1
9216,"Clarendon Hills Hickinbotham Syrah",1998,59.97,92,https://www.wine.com/product/clarendon-hills-hickinbotham-syrah-1998/9216,Syrah/Shiraz,"McLaren Vale, Australia",0,1,0,0,0,1
9217,"Clarendon Hills Brookman Syrah",1998,64.99,93,https://www.wine.com/product/clarendon-hills-brookman-syrah-1998/9217,Syrah/Shiraz,"McLaren Vale, Australia",0,1,0,0,0,1
9221,"Frankland Estate Olmo's Reward (Cabernet Blend)",1996,26.99,90,https://www.wine.com/product/frankland-estate-olmos-reward-cabernet-blend-1996/9221,"Bordeaux Red Blends",Australia,1,0,0,0,0,1
9350,"Guigal La Mouline Cote Rotie",1996,249,95,https://www.wine.com/product/guigal-la-mouline-cote-rotie-1996/9350,Syrah/Shiraz,"Cote Rotie, Rhone, France",0,1,0,0,1,0
9617,"Chateau Lynch-Bages",1985,209,90,https://www.wine.com/product/chateau-lynch-bages-1985/9617,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
10135,"Chateau Latour",1994,469.79,94,https://www.wine.com/product/chateau-latour-1994/10135,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
10178,"Chateau Latour",1995,549.97,96,https://www.wine.com/product/chateau-latour-1995/10178,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
10234,"Chateau Margaux",1994,419,91,https://www.wine.com/product/chateau-margaux-1994/10234,"Bordeaux Red Blends","Margaux, Bordeaux, France",1,0,0,0,1,0
10237,"Chateau Sociando-Mallet",1995,69.99,90,https://www.wine.com/product/chateau-sociando-mallet-1995/10237,"Bordeaux Red Blends","Haut Medoc, Bordeaux, France",1,0,0,0,1,0
10277,"Kilikanoon Oracle Shiraz",1998,89.97,92,https://www.wine.com/product/kilikanoon-oracle-shiraz-1998/10277,Syrah/Shiraz,"Clare Valley, Australia",0,1,0,0,0,1
10468,"Chateau Clerc Milon",1996,124.97,90,https://www.wine.com/product/chateau-clerc-milon-1996/10468,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
10469,"Chateau Mouton Rothschild",1995,349,95,https://www.wine.com/product/chateau-mouton-rothschild-1995/10469,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
10546,"Chateau Duhart-Milon",1996,104.99,90,https://www.wine.com/product/chateau-duhart-milon-1996/10546,"Bordeaux Red Blends","Pauillac, Bordeaux, France",1,0,0,0,1,0
11206,"Domaine Robert Groffier Pere & Fils Chambolle Musigny Les Amoureuses Premier Cru",1998,439,93,https://www.wine.com/product/domaine-robert-groffier-pere-and-fils-chambolle-musigny-les-amoureuses-premier-cru-1998/11206,"Pinot Noir","Chambolle-Musigny, Cote de Nuits, Cote d'Or, Burgundy, France",0,0,1,0,1,0
12848,"Tenuta Guado al Tasso",1997,129,94,https://www.wine.com/product/tenuta-guado-al-tasso-1997/12848,"Bordeaux Red Blends","Bolgheri, Tuscany, Italy",1,0,0,1,0,0
12913,"Peter Lehmann Eight Songs Shiraz",1996,53.99,93,https://www.wine.com/product/peter-lehmann-eight-songs-shiraz-1996/12913,Syrah/Shiraz,"Barossa Valley, Barossa, Australia",0,1,0,0,0,1
